video_id, sentence_id, dep_total_original, dep_total_random, total_words
16, 19, 24, 43, 11
16, 20, 9, 14, 6
16, 22, 12, 14, 7
16, 23, 13, 24, 7
16, 24, 12, 17, 7
16, 30, 27, 36, 10
16, 31, 9, 12, 6
16, 33, 9, 10, 6
16, 34, 10, 13, 6
16, 35, 9, 9, 6
16, 36, 29, 30, 10
16, 37, 13, 17, 7
16, 38, 9, 10, 6
16, 40, 7, 8, 5
16, 41, 16, 36, 8
16, 42, 19, 42, 9
16, 43, 28, 18, 8
16, 44, 16, 20, 8
16, 45, 9, 7, 5
16, 47, 9, 8, 6
16, 49, 12, 23, 7
16, 50, 15, 13, 6
16, 51, 7, 10, 5
16, 58, 11, 11, 6
16, 61, 15, 18, 6
16, 62, 8, 12, 5
16, 63, 28, 22, 8
16, 70, 6, 6, 5
16, 78, 8, 14, 5
16, 84, 14, 26, 8
16, 87, 9, 13, 6
16, 90, 11, 14, 6
17, 1, 11, 13, 6
17, 2, 15, 16, 7
17, 3, 45, 71, 15
17, 4, 21, 44, 10
17, 6, 7, 8, 5
17, 7, 41, 53, 13
17, 8, 76, 166, 21
17, 9, 27, 25, 10
17, 10, 20, 31, 10
17, 11, 62, 78, 17
17, 12, 85, 205, 28
17, 13, 14, 19, 8
17, 14, 32, 103, 14
17, 15, 23, 39, 10
17, 16, 17, 19, 9
17, 17, 98, 265, 29
17, 18, 38, 62, 15
17, 25, 7, 8, 5
17, 29, 23, 23, 8
17, 30, 30, 42, 11
17, 31, 23, 25, 10
17, 32, 26, 34, 11
17, 33, 36, 66, 13
17, 34, 37, 78, 14
17, 35, 33, 61, 15
17, 37, 22, 34, 10
17, 38, 11, 18, 6
17, 41, 8, 8, 5
17, 42, 12, 10, 6
17, 43, 20, 24, 9
17, 44, 10, 12, 5
17, 47, 8, 6, 5
17, 48, 12, 14, 7
17, 49, 9, 13, 6
17, 54, 31, 26, 10
17, 59, 15, 18, 8
17, 61, 15, 17, 7
17, 63, 12, 19, 7
17, 65, 15, 24, 8
17, 67, 7, 11, 5
17, 72, 11, 12, 6
17, 73, 11, 19, 7
17, 75, 19, 44, 10
17, 78, 18, 10, 7
17, 80, 21, 35, 10
17, 81, 48, 59, 14
17, 82, 14, 26, 8
17, 83, 9, 12, 6
17, 86, 9, 14, 6
18, 1, 7, 8, 5
18, 2, 7, 7, 6
18, 9, 13, 16, 7
18, 13, 11, 11, 6
18, 14, 58, 120, 19
18, 17, 11, 16, 6
18, 18, 20, 30, 9
18, 25, 11, 12, 6
18, 26, 8, 9, 5
18, 32, 11, 18, 6
18, 36, 11, 10, 6
18, 44, 14, 19, 7
18, 48, 15, 15, 7
18, 50, 14, 25, 7
18, 60, 21, 16, 9
19, 10, 8, 13, 6
19, 11, 19, 34, 10
19, 12, 16, 28, 8
19, 13, 9, 15, 6
19, 14, 13, 19, 8
19, 15, 35, 60, 14
19, 16, 15, 23, 9
19, 17, 13, 15, 7
19, 18, 11, 13, 7
19, 21, 21, 18, 9
19, 22, 29, 28, 10
19, 23, 6, 11, 5
19, 26, 7, 10, 5
19, 27, 9, 13, 7
19, 28, 32, 40, 13
19, 29, 27, 45, 12
19, 30, 11, 15, 7
19, 31, 35, 46, 14
19, 33, 44, 55, 13
19, 34, 37, 61, 15
19, 36, 9, 16, 6
19, 38, 45, 90, 17
19, 42, 13, 17, 7
19, 44, 24, 25, 9
19, 46, 21, 49, 10
19, 47, 44, 88, 16
19, 49, 25, 65, 11
19, 50, 29, 50, 10
19, 51, 14, 18, 8
19, 55, 13, 14, 6
19, 64, 10, 7, 5
19, 65, 9, 11, 6
19, 66, 10, 14, 7
19, 67, 21, 26, 9
19, 69, 20, 44, 10
19, 73, 17, 20, 8
19, 79, 16, 23, 8
19, 80, 9, 11, 7
19, 81, 23, 31, 10
19, 82, 33, 42, 12
19, 83, 16, 24, 8
19, 84, 24, 44, 12
19, 85, 11, 14, 6
19, 91, 12, 20, 7
19, 103, 8, 9, 5
19, 108, 14, 15, 7
19, 113, 14, 19, 7
19, 115, 12, 14, 6
19, 117, 17, 22, 7
19, 118, 20, 46, 11
19, 124, 9, 16, 7
19, 125, 16, 18, 8
19, 127, 18, 32, 10
19, 128, 11, 17, 7
19, 132, 32, 66, 14
19, 134, 20, 19, 9
19, 135, 18, 23, 8
19, 137, 23, 30, 10
19, 138, 28, 54, 12
20, 3, 5, 7, 5
20, 5, 21, 47, 10
20, 7, 20, 22, 9
20, 8, 7, 10, 5
20, 10, 9, 10, 5
20, 11, 22, 26, 9
20, 12, 19, 38, 9
20, 17, 24, 23, 9
20, 19, 12, 12, 6
20, 20, 39, 56, 14
20, 21, 43, 92, 15
20, 23, 45, 94, 16
20, 24, 12, 7, 6
21, 1, 8, 11, 5
21, 4, 6, 6, 5
21, 5, 12, 11, 7
21, 7, 16, 17, 7
21, 9, 36, 67, 13
21, 11, 23, 42, 10
21, 12, 31, 33, 10
21, 13, 8, 7, 5
21, 14, 13, 13, 7
21, 18, 7, 12, 6
21, 20, 11, 11, 6
21, 21, 21, 35, 10
21, 24, 31, 29, 10
21, 25, 7, 7, 5
21, 26, 27, 35, 10
21, 27, 26, 28, 11
21, 29, 7, 10, 5
21, 31, 25, 35, 11
21, 38, 23, 48, 10
21, 39, 9, 17, 7
21, 40, 9, 13, 6
21, 41, 9, 10, 7
21, 42, 29, 38, 11
21, 52, 6, 12, 5
21, 53, 6, 11, 5
21, 66, 8, 9, 5
21, 78, 10, 14, 6
21, 82, 9, 9, 6
21, 98, 13, 14, 7
21, 99, 15, 10, 6
21, 102, 8, 8, 5
21, 103, 13, 18, 7
21, 105, 14, 18, 7
21, 106, 12, 19, 7
21, 107, 10, 14, 6
21, 109, 14, 33, 8
21, 114, 19, 32, 10
21, 115, 13, 18, 7
21, 132, 15, 17, 7
21, 137, 9, 9, 5
21, 140, 10, 11, 6
21, 148, 18, 19, 8
21, 151, 10, 8, 5
21, 152, 9, 8, 5
21, 155, 9, 14, 6
21, 161, 16, 26, 7
21, 164, 11, 10, 6
21, 166, 11, 9, 5
22, 1, 11, 8, 6
22, 2, 15, 24, 9
22, 3, 9, 14, 6
22, 4, 15, 21, 8
22, 5, 24, 36, 11
22, 7, 19, 29, 10
22, 8, 21, 37, 9
22, 10, 4, 10, 5
22, 11, 25, 36, 10
22, 12, 9, 8, 6
22, 13, 27, 63, 13
22, 14, 14, 18, 7
22, 17, 12, 15, 7
22, 18, 9, 7, 6
22, 19, 7, 14, 6
22, 21, 7, 11, 5
22, 22, 25, 29, 9
22, 26, 16, 22, 8
22, 32, 18, 12, 7
22, 33, 12, 25, 7
22, 36, 3, 4, 6
22, 37, 1, 1, 5
22, 38, 40, 56, 14
22, 39, 9, 9, 6
22, 41, 12, 15, 6
22, 43, 8, 12, 5
22, 44, 14, 15, 7
22, 46, 5, 4, 5
22, 47, 27, 31, 10
22, 48, 6, 7, 5
22, 49, 12, 16, 7
22, 50, 34, 32, 11
22, 57, 9, 11, 6
22, 58, 4, 6, 5
22, 61, 22, 18, 9
22, 63, 10, 8, 6
22, 65, 12, 22, 7
22, 66, 27, 40, 10
22, 68, 27, 40, 10
22, 71, 40, 51, 13
22, 72, 12, 14, 6
23, 1, 8, 16, 6
23, 4, 12, 24, 7
23, 7, 18, 29, 9
23, 10, 9, 12, 6
23, 12, 16, 21, 8
23, 13, 11, 18, 7
23, 14, 28, 58, 13
23, 15, 9, 14, 6
23, 17, 18, 25, 9
23, 18, 22, 33, 10
23, 19, 9, 11, 6
23, 20, 10, 9, 5
23, 23, 10, 10, 5
23, 26, 10, 10, 5
23, 28, 27, 44, 11
23, 30, 10, 12, 6
23, 31, 33, 45, 12
23, 32, 8, 5, 5
23, 33, 14, 16, 8
23, 49, 8, 8, 6
23, 55, 8, 5, 5
23, 63, 17, 15, 7
23, 69, 7, 10, 5
23, 77, 28, 31, 10
23, 78, 13, 14, 6
23, 79, 20, 26, 8
23, 95, 37, 25, 10
23, 101, 24, 40, 11
23, 103, 15, 18, 6
23, 120, 13, 12, 7
23, 126, 26, 27, 9
23, 131, 9, 10, 6
23, 132, 17, 26, 7
23, 149, 13, 17, 7
